"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 2021  To:  Dec 31, 2022"				
Ranking by Gender & Year	First Name	Frequency	Gender	Year
1325	Keagan 	2	Boy	2022
1325	Keerat 	2	Boy	2022
1325	Kellan 	2	Boy	2022
1325	Keller 	2	Boy	2022
1325	Kellin 	2	Boy	2022
1325	Kelly 	2	Boy	2022
1325	Kelvin 	2	Boy	2022
1325	Kenan 	2	Boy	2022
1325	Kenley 	2	Boy	2022
1325	Kent 	2	Boy	2022
1325	Keston 	2	Boy	2022
1325	Keyan 	2	Boy	2022
1325	Khaleel 	2	Boy	2022
1325	Khalil 	2	Boy	2022
1325	Khizer	2	Boy	2022
1325	Kingsley 	2	Boy	2022
1325	Kiseri 	2	Boy	2022
1325	Klaus 	2	Boy	2022
1325	Knoxlee 	2	Boy	2022
1325	Koah 	2	Boy	2022
1325	Kobi 	2	Boy	2022
1325	Kodie 	2	Boy	2022
1325	Kole 	2	Boy	2022
1325	Kolson 	2	Boy	2022
1325	Kove 	2	Boy	2022
1325	Kris 	2	Boy	2022
1325	Krishav	2	Boy	2022
1325	Krishna 	2	Boy	2022
1325	Kruz 	2	Boy	2022
1325	Kwame	2	Boy	2022
1325	Ky 	2	Boy	2022
1325	Laker 	2	Boy	2022
1325	Landyn 	2	Boy	2022
1325	Langston 	2	Boy	2022
1325	Laurent 	2	Boy	2022
1325	Layden 	2	Boy	2022
1325	Legend 	2	Boy	2022
1325	Lemmy 	2	Boy	2022
1325	Lennix 	2	Boy	2022
1325	Lenny 	2	Boy	2022
1325	Levin 	2	Boy	2022
1325	Lexin 	2	Boy	2022
1325	Liban 	2	Boy	2022
1325	Lochlann 	2	Boy	2022
1325	Locklin 	2	Boy	2022
1325	Lord 	2	Boy	2022
1325	Louay	2	Boy	2022
1325	Lowen 	2	Boy	2022
1325	Luan 	2	Boy	2022
1325	Lucius 	2	Boy	2022
1325	Lukasz 	2	Boy	2022
1325	Lukian	2	Boy	2022
1325	Lux	2	Boy	2022
1325	Lyle 	2	Boy	2022
1325	Lyrik 	2	Boy	2022
1325	Maazin 	2	Boy	2022
1325	Mackinnon 	2	Boy	2022
1325	Maclin 	2	Boy	2022
1325	Macsen 	2	Boy	2022
1325	Maddex 	2	Boy	2022
1325	Madhav	2	Boy	2022
1325	Maher 	2	Boy	2022
1325	Mahfuz 	2	Boy	2022
1325	Majd	2	Boy	2022
1325	Maksim	2	Boy	2022
1325	Malaki 	2	Boy	2022
1325	Mantaj 	2	Boy	2022
1325	Mariano 	2	Boy	2022
1325	Marwaan 	2	Boy	2022
1325	Masen 	2	Boy	2022
1325	Masud	2	Boy	2022
1325	Matéo 	2	Boy	2022
1325	Mathayus 	2	Boy	2022
1325	Mathis 	2	Boy	2022
1325	Matt	2	Boy	2022
1325	Maxime 	2	Boy	2022
1325	Maximiliano	2	Boy	2022
1325	Maximillion 	2	Boy	2022
1325	Maxton 	2	Boy	2022
1325	Maxx 	2	Boy	2022
1325	Mccoy 	2	Boy	2022
1325	Merlin 	2	Boy	2022
1325	Merritt 	2	Boy	2022
1325	Messer 	2	Boy	2022
1325	Messiah 	2	Boy	2022
1325	Mian 	2	Boy	2022
1325	Mikhail	2	Boy	2022
1325	Miko 	2	Boy	2022
1325	Milad	2	Boy	2022
1325	Milkias 	2	Boy	2022
1325	Miracle	2	Boy	2022
1325	Mirza 	2	Boy	2022
1325	Mitchell 	2	Boy	2022
1325	Moera	2	Boy	2022
1325	Mohkam	2	Boy	2022
1325	Mohsin	2	Boy	2022
1325	Montgomery 	2	Boy	2022
1325	Monty 	2	Boy	2022
1325	Moosa	2	Boy	2022
1325	Morad	2	Boy	2022
1325	Morris 	2	Boy	2022
1325	Mouhamed	2	Boy	2022
1325	Muhammed 	2	Boy	2022
1325	Mujtaba 	2	Boy	2022
1325	Murphy	2	Boy	2022
1325	Murray 	2	Boy	2022
1325	Mylan 	2	Boy	2022
1325	Nabeel 	2	Boy	2022
1325	Nadir 	2	Boy	2022
1325	Naji	2	Boy	2022
1325	Naman 	2	Boy	2022
1325	Nana 	2	Boy	2022
1325	Naod 	2	Boy	2022
1325	Narayan 	2	Boy	2022
1325	Nashoba 	2	Boy	2022
1325	Naunidh 	2	Boy	2022
1325	Navraj 	2	Boy	2022
1325	Nebi 	2	Boy	2022
1325	Neel 	2	Boy	2022
1325	Nehemiah 	2	Boy	2022
1325	Niall 	2	Boy	2022
1325	Nick	2	Boy	2022
1325	Nikko 	2	Boy	2022
1325	Nilan	2	Boy	2022
1325	Nishaan 	2	Boy	2022
1325	Nivaan	2	Boy	2022
1325	Nkenna 	2	Boy	2022
1325	Nnanyelugo 	2	Boy	2022
1325	Nobel 	2	Boy	2022
1325	Nooh 	2	Boy	2022
1325	Nuh 	2	Boy	2022
1325	Nyjah 	2	Boy	2022
1325	Oaklan 	2	Boy	2022
1325	Oaklin 	2	Boy	2022
1325	Obaida	2	Boy	2022
1325	Odysseus 	2	Boy	2022
1325	Ojas 	2	Boy	2022
1325	Ole 	2	Boy	2022
1325	Oleksiy 	2	Boy	2022
1325	Olli 	2	Boy	2022
1325	Oluwafolakunmi 	2	Boy	2022
1325	Oluwatamilore 	2	Boy	2022
1325	Omi 	2	Boy	2022
1325	Opemiposi 	2	Boy	2022
1325	Oslo 	2	Boy	2022
1325	Oswin 	2	Boy	2022
1325	Othniel 	2	Boy	2022
1325	Paras	2	Boy	2022
1325	Parvaan 	2	Boy	2022
1325	Pax 	2	Boy	2022
1325	Peniel 	2	Boy	2022
1325	Petar 	2	Boy	2022
1325	Pethuel 	2	Boy	2022
1325	Petrus 	2	Boy	2022
1325	Peyton 	2	Boy	2022
1325	Pierre 	2	Boy	2022
1325	Pierson 	2	Boy	2022
1325	Prabhgun	2	Boy	2022
1325	Presley 	2	Boy	2022
1325	Primo 	2	Boy	2022
1325	Prithvi	2	Boy	2022
1325	Quade 	2	Boy	2022
1325	Radek 	2	Boy	2022
1325	Radley 	2	Boy	2022
1325	Rafe 	2	Boy	2022
1325	Raheem 	2	Boy	2022
1325	Railey 	2	Boy	2022
1325	Ramos 	2	Boy	2022
1325	Ramy	2	Boy	2022
1325	Ranbir 	2	Boy	2022
1325	Ravjot 	2	Boy	2022
1325	Rayaan	2	Boy	2022
1325	Rayansh 	2	Boy	2022
1325	Rayden 	2	Boy	2022
1325	Rayleigh 	2	Boy	2022
1325	Raymon 	2	Boy	2022
1325	Reef 	2	Boy	2022
1325	Reeve 	2	Boy	2022
1325	Rehaan 	2	Boy	2022
1325	Rehan 	2	Boy	2022
1325	Rei 	2	Boy	2022
1325	Renley 	2	Boy	2022
1325	Renner 	2	Boy	2022
1325	Reno 	2	Boy	2022
1325	Reuel 	2	Boy	2022
1325	Revan 	2	Boy	2022
1325	Rhodes 	2	Boy	2022
1325	Rhylan 	2	Boy	2022
1325	Rida	2	Boy	2022
1325	Ridwan 	2	Boy	2022
1325	Riel 	2	Boy	2022
1325	Rihan	2	Boy	2022
1325	Riker 	2	Boy	2022
1325	Ripley 	2	Boy	2022
1325	Rishaan	2	Boy	2022
1325	Riyaan 	2	Boy	2022
1325	Riyan	2	Boy	2022
1325	Roark 	2	Boy	2022
1325	Rodrigo 	2	Boy	2022
1325	Román 	2	Boy	2022
1325	Ron 	2	Boy	2022
1325	Ronak 	2	Boy	2022
1325	Ronnie 	2	Boy	2022
1325	Ross 	2	Boy	2022
1325	Rowdy 	2	Boy	2022
1325	Rowoon	2	Boy	2022
1325	Rudransh	2	Boy	2022
1325	Rueben 	2	Boy	2022
1325	Rumi	2	Boy	2022
1325	Rustin 	2	Boy	2022
1325	Rye 	2	Boy	2022
1325	Rylee 	2	Boy	2022
1325	Ryo 	2	Boy	2022
1325	Saad 	2	Boy	2022
1325	Sabar 	2	Boy	2022
1325	Sabastian 	2	Boy	2022
1325	Sabr	2	Boy	2022
1325	Safwan 	2	Boy	2022
1325	Sahal 	2	Boy	2022
1325	Sahibjot 	2	Boy	2022
1325	Sai 	2	Boy	2022
1325	Sajid 	2	Boy	2022
1325	Saleh	2	Boy	2022
1325	Salem 	2	Boy	2022
1325	Samarbir 	2	Boy	2022
1325	Sammy 	2	Boy	2022
1325	Sampson 	2	Boy	2022
1325	Samraj 	2	Boy	2022
1325	Samy	2	Boy	2022
1325	Sarik	2	Boy	2022
1325	Sascha 	2	Boy	2022
1325	Saxon 	2	Boy	2022
1325	Sayan	2	Boy	2022
1325	Sayer 	2	Boy	2022
1325	Saylor 	2	Boy	2022
1325	Scout 	2	Boy	2022
1325	Seamus 	2	Boy	2022
1325	Sehraj 	2	Boy	2022
1325	Selim 	2	Boy	2022
1325	Sergel 	2	Boy	2022
1325	Seven 	2	Boy	2022
1325	Shaan 	2	Boy	2022
1325	Shahzad	2	Boy	2022
1325	Shalom 	2	Boy	2022
1325	Shan 	2	Boy	2022
1325	Shaun 	2	Boy	2022
1325	Shay 	2	Boy	2022
1325	Shayan 	2	Boy	2022
1325	Shayn	2	Boy	2022
1325	Shea 	2	Boy	2022
1325	Shelton	2	Boy	2022
1325	Shepard 	2	Boy	2022
1325	Shiv 	2	Boy	2022
1325	Shivaan	2	Boy	2022
1325	Shivin	2	Boy	2022
1325	Shreyaan 	2	Boy	2022
1325	Shubhdeep 	2	Boy	2022
1325	Sian 	2	Boy	2022
1325	Siddhan	2	Boy	2022
1325	Sidharth 	2	Boy	2022
1325	Siem 	2	Boy	2022
1325	Simone 	2	Boy	2022
1325	Sky 	2	Boy	2022
1325	Skye 	2	Boy	2022
1325	Skylar 	2	Boy	2022
1325	Sohum	2	Boy	2022
1325	Somtochukwu 	2	Boy	2022
1325	Sri 	2	Boy	2022
1325	Steele 	2	Boy	2022
1325	Stephan 	2	Boy	2022
1325	Stone 	2	Boy	2022
1325	Styles 	2	Boy	2022
1325	Subeg 	2	Boy	2022
1325	Subhan	2	Boy	2022
1325	Sukhraj	2	Boy	2022
1325	Suleiman	2	Boy	2022
1325	Suleman 	2	Boy	2022
1325	Syler 	2	Boy	2022
1325	Sylis 	2	Boy	2022
1325	Taaz 	2	Boy	2022
1325	Tai 	2	Boy	2022
1325	Tajveer 	2	Boy	2022
1325	Talen 	2	Boy	2022
1325	Talha 	2	Boy	2022
1325	Tamilore 	2	Boy	2022
1325	Tayo 	2	Boy	2022
1325	Tayvion 	2	Boy	2022
1325	Tennyson 	2	Boy	2022
1325	Theoden 	2	Boy	2022
1325	Theodor 	2	Boy	2022
1325	Theron 	2	Boy	2022
1325	Thijs 	2	Boy	2022
1325	Titan 	2	Boy	2022
1325	Tobin 	2	Boy	2022
1325	Toni 	2	Boy	2022
1325	Tonny 	2	Boy	2022
1325	Torben 	2	Boy	2022
1325	Trenton 	2	Boy	2022
1325	Tristen 	2	Boy	2022
1325	Trygve 	2	Boy	2022
1325	Tydus 	2	Boy	2022
1325	Tye	2	Boy	2022
1325	Udham 	2	Boy	2022
1325	Uriel 	2	Boy	2022
1325	Urijah 	2	Boy	2022
1325	Vaden 	2	Boy	2022
1325	Valen 	2	Boy	2022
1325	Vansh 	2	Boy	2022
1325	Vedansh	2	Boy	2022
1325	Vernon 	2	Boy	2022
1325	Viacheslav	2	Boy	2022
1325	Vien 	2	Boy	2022
1325	Vince 	2	Boy	2022
1325	Vir 	2	Boy	2022
1325	Viraaj	2	Boy	2022
1325	Virasat 	2	Boy	2022
1325	Wahenoor 	2	Boy	2022
1325	Waleed	2	Boy	2022
1325	Walt 	2	Boy	2022
1325	Warner 	2	Boy	2022
1325	West 	2	Boy	2022
1325	Wilfred 	2	Boy	2022
1325	Willem 	2	Boy	2022
1325	Wolf 	2	Boy	2022
1325	Wolfe 	2	Boy	2022
1325	Wylie 	2	Boy	2022
1325	Xaiden 	2	Boy	2022
1325	Xian 	2	Boy	2022
1325	Yahia	2	Boy	2022
1325	Yai 	2	Boy	2022
1325	Yamen	2	Boy	2022
1325	Yoab 	2	Boy	2022
1325	Yosias 	2	Boy	2022
1325	Younus 	2	Boy	2022
1325	Yousif 	2	Boy	2022
1325	Yuan 	2	Boy	2022
1325	Yuri	2	Boy	2022
1325	Yusef 	2	Boy	2022
1325	Yussef 	2	Boy	2022
1325	Yuvan	2	Boy	2022
1325	Yuvin	2	Boy	2022
1325	Zacchaeus 	2	Boy	2022
1325	Zackery 	2	Boy	2022
1325	Zahir 	2	Boy	2022
1325	Zakary	2	Boy	2022
1325	Zarek 	2	Boy	2022
1325	Zavion 	2	Boy	2022
1325	Zaviyaar 	2	Boy	2022
1325	Zaviyar	2	Boy	2022
1325	Zaxton 	2	Boy	2022
1325	Zayde 	2	Boy	2022
1325	Zaylen 	2	Boy	2022
1325	Zeno 	2	Boy	2022
1325	Zeppelin 	2	Boy	2022
1325	Zev 	2	Boy	2022
1325	Zhayne 	2	Boy	2022
1325	Zian	2	Boy	2022
1325	Zidan	2	Boy	2022
1325	Zidane 	2	Boy	2022
1325	Ziggy 	2	Boy	2022
1325	Ziyaan 	2	Boy	2022
1325	Zohaan	2	Boy	2022
1325	Zohaib 	2	Boy	2022
1325	Zubayr 	2	Boy	2022
2090	Aabir 	1	Boy	2022
2090	Aad 	1	Boy	2022
2090	Aadeesh 	1	Boy	2022
2090	Aaden 	1	Boy	2022
2090	Aadhiran	1	Boy	2022
2090	Aadhithya	1	Boy	2022
2090	Aadish	1	Boy	2022
2090	Aadit	1	Boy	2022
2090	Aaditya 	1	Boy	2022
2090	Aadiv 	1	Boy	2022
2090	Aadr 	1	Boy	2022
2090	Aagaz 	1	Boy	2022
2090	Aahan	1	Boy	2022
2090	Aahid	1	Boy	2022
2090	Aahnik 	1	Boy	2022
2090	Aakash	1	Boy	2022
2090	Aalok	1	Boy	2022
2090	Aamir 	1	Boy	2022
2090	Aanav	1	Boy	2022
2090	Aanay 	1	Boy	2022
2090	Aaradhya 	1	Boy	2022
2090	Aaravbir 	1	Boy	2022
2090	Aaravjot 	1	Boy	2022
2090	Aari 	1	Boy	2022
2090	Aarib	1	Boy	2022
2090	Aaridh	1	Boy	2022
2090	Aarish	1	Boy	2022
2090	Aarnik	1	Boy	2022
2090	Aaronbir 	1	Boy	2022
2090	Aarusan	1	Boy	2022
2090	Aaryaditya 	1	Boy	2022
2090	Aaryash	1	Boy	2022
2090	Aathiran	1	Boy	2022
2090	Aatman 	1	Boy	2022
2090	Aavir	1	Boy	2022
2090	Aavon	1	Boy	2022
2090	Aayash 	1	Boy	2022
2090	Aayush	1	Boy	2022
2090	Aazhiyan	1	Boy	2022
2090	Abas	1	Boy	2022
2090	Abbott 	1	Boy	2022
2090	Abdelaziz	1	Boy	2022
2090	Abdelghani	1	Boy	2022
2090	Abdelrazek	1	Boy	2022
2090	Abderahmane	1	Boy	2022
2090	Abdi 	1	Boy	2022
2090	Abdiasis 	1	Boy	2022
2090	Abdiladif 	1	Boy	2022
2090	Abdillahi 	1	Boy	2022
2090	Abdirahim 	1	Boy	2022
2090	Abdirazk	1	Boy	2022
2090	Abdisa	1	Boy	2022
2090	Abdiwali 	1	Boy	2022
2090	Abdoul 	1	Boy	2022
2090	Abdul-Ahad	1	Boy	2022
2090	Abdul-Hadi	1	Boy	2022
2090	Abdulhak 	1	Boy	2022
2090	Abdul-Haq 	1	Boy	2022
2090	Abdul-Qadir	1	Boy	2022
2090	Abdul-Rahman 	1	Boy	2022
2090	Abdur 	1	Boy	2022
2090	Abdussalam 	1	Boy	2022
2090	Abdussamad 	1	Boy	2022
2090	Abe 	1	Boy	2022
2090	Abeselom 	1	Boy	2022
2090	Abhaid 	1	Boy	2022
2090	Abhay 	1	Boy	2022
2090	Abhinav	1	Boy	2022
2090	Abhir	1	Boy	2022
2090	Abhiraj 	1	Boy	2022
2090	Abhiram	1	Boy	2022
2090	Abilene 	1	Boy	2022
2090	Abiner	1	Boy	2022
2090	Abinezer 	1	Boy	2022
2090	Abiola 	1	Boy	2022
2090	Abisola 	1	Boy	2022
2090	Abobakr	1	Boy	2022
2090	Aboubakar	1	Boy	2022
2090	Abraar 	1	Boy	2022
2090	Abrahim	1	Boy	2022
2090	Abubakr	1	Boy	2022
2090	Abubeker 	1	Boy	2022
2090	Abyilak 	1	Boy	2022
2090	Abynabi 	1	Boy	2022
2090	Acacius 	1	Boy	2022
2090	Acker 	1	Boy	2022
2090	Adab 	1	Boy	2022
2090	Adabbir	1	Boy	2022
2090	Adabpreet 	1	Boy	2022
2090	Adabveer	1	Boy	2022
2090	Adaes 	1	Boy	2022
2090	Adama	1	Boy	2022
2090	Adamas 	1	Boy	2022
2090	Adan	1	Boy	2022
2090	Adanan	1	Boy	2022
2090	Addie	1	Boy	2022
2090	Adeel	1	Boy	2022
2090	Adejola 	1	Boy	2022
2090	Adelani 	1	Boy	2022
2090	Aden 	1	Boy	2022
2090	Adeoluwa 	1	Boy	2022
2090	Adepoju 	1	Boy	2022
2090	Aderemi 	1	Boy	2022
2090	Aderotimi	1	Boy	2022
2090	Adesanya 	1	Boy	2022
2090	Adeshwar 	1	Boy	2022
2090	Adesireoluwa 	1	Boy	2022
2090	Adetoyese 	1	Boy	2022
2090	Adeyemi 	1	Boy	2022
2090	Adhie	1	Boy	2022
2090	Adhiraj	1	Boy	2022
2090	Adhiran 	1	Boy	2022
2090	Adhokshaj 	1	Boy	2022
2090	Adhwik 	1	Boy	2022
2090	Adin 	1	Boy	2022
2090	Adnane 	1	Boy	2022
2090	Adolf 	1	Boy	2022
2090	Adon	1	Boy	2022
2090	Adonai 	1	Boy	2022
2090	Adonijah 	1	Boy	2022
2090	Adoniya	1	Boy	2022
2090	Adorn 	1	Boy	2022
2090	Adrhian 	1	Boy	2022
2090	Adriann 	1	Boy	2022
2090	Adrias 	1	Boy	2022
2090	Adrielle 	1	Boy	2022
2090	Adriel-Marcus 	1	Boy	2022
2090	Advait	1	Boy	2022
2090	Advaith 	1	Boy	2022
2090	Advay	1	Boy	2022
2090	Adyan	1	Boy	2022
2090	Adyanssh	1	Boy	2022
2090	Aeckas 	1	Boy	2022
2090	Aedan 	1	Boy	2022
2090	Aerin 	1	Boy	2022
2090	Aeryn 	1	Boy	2022
2090	Aeryx 	1	Boy	2022
2090	Aethan 	1	Boy	2022
2090	Aevan	1	Boy	2022
2090	Aevir 	1	Boy	2022
2090	Aeylin 	1	Boy	2022
2090	Afaan 	1	Boy	2022
2090	Afief 	1	Boy	2022
2090	Afran 	1	Boy	2022
2090	Afraz	1	Boy	2022
2090	Aftab 	1	Boy	2022
2090	Agaadh 	1	Boy	2022
2090	Agaaz 	1	Boy	2022
2090	Agaazvir 	1	Boy	2022
2090	Agamvir 	1	Boy	2022
2090	Agassttya	1	Boy	2022
2090	Agazbir	1	Boy	2022
2090	Agen 	1	Boy	2022
2090	Ahadi 	1	Boy	2022
2090	Ahamd	1	Boy	2022
2090	Ahantej	1	Boy	2022
2090	Ahdzae 	1	Boy	2022
2090	Ahemjot 	1	Boy	2022
2090	Ahil	1	Boy	2022
2090	Ahkam	1	Boy	2022
2090	Ahmadou 	1	Boy	2022
2090	Ahmadu 	1	Boy	2022
2090	Ahryn 	1	Boy	2022
2090	Ahsan	1	Boy	2022
2090	Ahyan	1	Boy	2022
2090	Ahzaab 	1	Boy	2022
2090	Ahzab 	1	Boy	2022
2090	Aian 	1	Boy	2022
2090	Aikas 	1	Boy	2022
2090	Ailyx 	1	Boy	2022
2090	Aion	1	Boy	2022
2090	Aisa 	1	Boy	2022
2090	Aithan 	1	Boy	2022
2090	Aiven 	1	Boy	2022
2090	Aiyan 	1	Boy	2022
2090	Aizen 	1	Boy	2022
2090	Aiziel	1	Boy	2022
2090	Aizik 	1	Boy	2022
2090	Aj 	1	Boy	2022
2090	Ajaib 	1	Boy	2022
2090	Ajin	1	Boy	2022
2090	Ajindeoluwa 	1	Boy	2022
2090	Akaal 	1	Boy	2022
2090	Akal 	1	Boy	2022
2090	Akash 	1	Boy	2022
2090	Akeem 	1	Boy	2022
2090	Akhand 	1	Boy	2022
2090	Akhil 	1	Boy	2022
2090	Akiech 	1	Boy	2022
2090	Akiem 	1	Boy	2022
2090	Akihiko 	1	Boy	2022
2090	Akihiro 	1	Boy	2022
2090	Akili 	1	Boy	2022
2090	Akinfolajimi 	1	Boy	2022
2090	Akinfolarin 	1	Boy	2022
2090	Akio 	1	Boy	2022
2090	Akiva 	1	Boy	2022
2090	Akol 	1	Boy	2022
2090	Akoon 	1	Boy	2022
2090	Al	1	Boy	2022
2090	Alaa	1	Boy	2022
2090	Alakai 	1	Boy	2022
2090	Alanaloluwa 	1	Boy	2022
2090	Alaska 	1	Boy	2022
2090	Alastair 	1	Boy	2022
2090	Alastar 	1	Boy	2022
2090	Alazar	1	Boy	2022
2090	Alba 	1	Boy	2022
2090	Alber 	1	Boy	2022
2090	Albi 	1	Boy	2022
2090	Alderwyn 	1	Boy	2022
2090	Aldous 	1	Boy	2022
2090	Aldrei 	1	Boy	2022
2090	Aldrin 	1	Boy	2022
2090	Aldus 	1	Boy	2022
2090	Aldyn 	1	Boy	2022
2090	Alek 	1	Boy	2022
2090	Aleksandr 	1	Boy	2022
2090	Alen 	1	Boy	2022
2090	Aleric 	1	Boy	2022
2090	Alesso 	1	Boy	2022
2090	Alexandros	1	Boy	2022
2090	Alexei 	1	Boy	2022
2090	Alexiy 	1	Boy	2022
2090	Alfaaz 	1	Boy	2022
2090	Alie 	1	Boy	2022
2090	Ali-Hussein	1	Boy	2022
2090	Alik	1	Boy	2022
2090	Aliyaan	1	Boy	2022
2090	Aliyar	1	Boy	2022
2090	Allie 	1	Boy	2022
2090	Allon 	1	Boy	2022
2090	Allus 	1	Boy	2022
2090	Alonza 	1	Boy	2022
2090	Alrick 	1	Boy	2022
2090	Alva 	1	Boy	2022
2090	Aly 	1	Boy	2022
2090	Alyaan 	1	Boy	2022
2090	Alyan 	1	Boy	2022
2090	Alykai 	1	Boy	2022
2090	Alykaii 	1	Boy	2022
2090	Amaari 	1	Boy	2022
2090	Amantè 	1	Boy	2022
2090	Amarbir 	1	Boy	2022
2090	Amar'E 	1	Boy	2022
2090	Amarì 	1	Boy	2022
2090	Amay	1	Boy	2022
2090	Ambrien 	1	Boy	2022
2090	Ame 	1	Boy	2022
2090	Ameek 	1	Boy	2022
2090	Ameekvir 	1	Boy	2022
2090	Ames 	1	Boy	2022
2090	Amiel 	1	Boy	2022
2090	Amilio 	1	Boy	2022
2090	Aminadab 	1	Boy	2022
2090	Amirtaha	1	Boy	2022
2090	A'Mius 	1	Boy	2022
2090	Amjad 	1	Boy	2022
2090	Ammaar 	1	Boy	2022
2090	Amninder 	1	Boy	2022
2090	Amnvir	1	Boy	2022
2090	Amol 	1	Boy	2022
2090	Amor	1	Boy	2022
2090	Amores 	1	Boy	2022
2090	Amr	1	Boy	2022
2090	Amraj	1	Boy	2022
2090	Amri 	1	Boy	2022
2090	Amrik 	1	Boy	2022
2090	Amstel 	1	Boy	2022
2090	Anaad 	1	Boy	2022
2090	Anaaf 	1	Boy	2022
2090	Anahad 	1	Boy	2022
2090	Anantbir 	1	Boy	2022
2090	Anantveer	1	Boy	2022
2090	Anashe 	1	Boy	2022
2090	Anastasios 	1	Boy	2022
2090	Anden 	1	Boy	2022
2090	Andres 	1	Boy	2022
2090	Andrez 	1	Boy	2022
2090	Andriy	1	Boy	2022
2090	Andros 	1	Boy	2022
2090	Aneth	1	Boy	2022
2090	Angelito	1	Boy	2022
2090	Angelos 	1	Boy	2022
2090	Anhaad	1	Boy	2022
2090	Anikin 	1	Boy	2022
2090	Anirudh	1	Boy	2022
2090	Anis	1	Boy	2022
2090	Ankur	1	Boy	2022
2090	Annex 	1	Boy	2022
2090	Anokh 	1	Boy	2022
2090	Anonymous 	1	Boy	2022
2090	Anoop 	1	Boy	2022
2090	Anru	1	Boy	2022
2090	Ansel 	1	Boy	2022
2090	Ansen 	1	Boy	2022
2090	Anshveer 	1	Boy	2022
2090	Ante 	1	Boy	2022
2090	Antip	1	Boy	2022
2090	Anto	1	Boy	2022
2090	Antoni 	1	Boy	2022
2090	Antonie	1	Boy	2022
2090	Antun 	1	Boy	2022
2090	Anvith	1	Boy	2022
2090	Aos 	1	Boy	2022
2090	Aous 	1	Boy	2022
2090	Apar 	1	Boy	2022
2090	Aphelios 	1	Boy	2022
2090	Apollon 	1	Boy	2022
2090	Apollos 	1	Boy	2022
2090	Aqeel 	1	Boy	2022
2090	Aquila 	1	Boy	2022
2090	Aquiles 	1	Boy	2022
2090	Arad	1	Boy	2022
2090	Arafat 	1	Boy	2022
2090	Aramis	1	Boy	2022
2090	Aran 	1	Boy	2022
2090	Arav 	1	Boy	2022
2090	Arayan 	1	Boy	2022
2090	Arbaaj 	1	Boy	2022
2090	Arby 	1	Boy	2022
2090	Arc 	1	Boy	2022
2090	Archibold 	1	Boy	2022
2090	Arcides 	1	Boy	2022
2090	Arckhy 	1	Boy	2022
2090	Arctis 	1	Boy	2022
2090	Areeb 	1	Boy	2022
2090	Aref 	1	Boy	2022
2090	Aren 	1	Boy	2022
2090	Argyrios	1	Boy	2022
2090	Ariaan	1	Boy	2022
2090	Arianik	1	Boy	2022
2090	Ariel 	1	Boy	2022
2090	Arielle-Allan 	1	Boy	2022
2090	Arik 	1	Boy	2022
2090	Arin	1	Boy	2022
2090	Arireoluwa 	1	Boy	2022
2090	Arishyan	1	Boy	2022
2090	Aristarh	1	Boy	2022
2090	Aristidis	1	Boy	2022
2090	Ariv	1	Boy	2022
2090	Arizen 	1	Boy	2022
2090	Arj 	1	Boy	2022
2090	Arjay 	1	Boy	2022
2090	Arjn 	1	Boy	2022
2090	Arkadiusz 	1	Boy	2022
2090	Arkane 	1	Boy	2022
2090	Arkanghel 	1	Boy	2022
2090	Arkillies 	1	Boy	2022
2090	Arkin 	1	Boy	2022
2090	Arl 	1	Boy	2022
2090	Arlandzo 	1	Boy	2022
2090	Arleigh 	1	Boy	2022
2090	Arles 	1	Boy	2022
2090	Arlington 	1	Boy	2022
2090	Arlo-James 	1	Boy	2022
2090	Arlynn 	1	Boy	2022
2090	Armando	1	Boy	2022
2090	Armanii 	1	Boy	2022
2090	Armin 	1	Boy	2022
2090	Arnaaz 	1	Boy	2022
2090	Arnaf	1	Boy	2022
2090	Arnie 	1	Boy	2022
2090	Arno 	1	Boy	2022
2090	Arok 	1	Boy	2022
2090	Arop 	1	Boy	2022
2090	Arowen 	1	Boy	2022
2090	Arran 	1	Boy	2022
2090	Arsam	1	Boy	2022
2090	Arsan	1	Boy	2022
2090	Arscott 	1	Boy	2022
2090	Arsen	1	Boy	2022
2090	Arsenio 	1	Boy	2022
2090	Arshan	1	Boy	2022
2090	Arta 	1	Boy	2022
2090	Artemas 	1	Boy	2022
2090	Artemis 	1	Boy	2022
2090	Artémis 	1	Boy	2022
2090	Arther 	1	Boy	2022
2090	Artin	1	Boy	2022
2090	Artis 	1	Boy	2022
2090	Artist 	1	Boy	2022
2090	Artorius 	1	Boy	2022
2090	Arturo 	1	Boy	2022
2090	Artyom 	1	Boy	2022
2090	Artzel 	1	Boy	2022
2090	Arush	1	Boy	2022
2090	Arwin	1	Boy	2022
2090	Aryah 	1	Boy	2022
2090	Aryash	1	Boy	2022
2090	Aryav	1	Boy	2022
2090	Aryi	1	Boy	2022
2090	Aryll	1	Boy	2022
2090	Aryn 	1	Boy	2022
2090	Aryo	1	Boy	2022
2090	Arys 	1	Boy	2022
2090	Arzen	1	Boy	2022
2090	Asad	1	Boy	2022
2090	Asaf 	1	Boy	2022
2090	Asah 	1	Boy	2022
2090	Ashaar 	1	Boy	2022
2090	Ashen 	1	Boy	2022
2090	Ashneer	1	Boy	2022
2090	Ashrith	1	Boy	2022
2090	Ashvan	1	Boy	2022
2090	Ashveer 	1	Boy	2022
2090	Asif 	1	Boy	2022
2090	Asinî 	1	Boy	2022
